iter	Recall	Logloss
0	0.9097744361	0.6467412302
1	0.9423558897	0.607130525
2	0.9223057644	0.5745044363
3	0.9298245614	0.5390040366
4	0.9323308271	0.5119412822
5	0.9298245614	0.4914282778
6	0.9273182957	0.476464395
7	0.9298245614	0.4554388774
8	0.9223057644	0.4372230134
9	0.9298245614	0.4176394549
10	0.9423558897	0.3978907416
11	0.9448621554	0.3848129699
12	0.9423558897	0.3729497041
13	0.954887218	0.3600201698
14	0.954887218	0.3490384882
15	0.954887218	0.339097997
16	0.9573934837	0.3303747992
17	0.9573934837	0.321527004
18	0.9573934837	0.3163184714
19	0.9598997494	0.3084191275
20	0.962406015	0.3024375981
21	0.962406015	0.2940676557
22	0.9598997494	0.2896192158
23	0.9573934837	0.2855586302
24	0.9573934837	0.2807608694
25	0.9598997494	0.2762840548
26	0.962406015	0.2732783335
27	0.962406015	0.2695432401
28	0.962406015	0.2652702085
29	0.962406015	0.2607367994
30	0.9649122807	0.2561717164
31	0.9674185464	0.2539089182
32	0.9674185464	0.2515739348
33	0.9674185464	0.2495526891
34	0.9674185464	0.2489884586
35	0.9674185464	0.2466699973
36	0.969924812	0.2442751272
37	0.969924812	0.2419016446
38	0.969924812	0.2409980179
39	0.969924812	0.23946669
40	0.969924812	0.2369633338
41	0.969924812	0.2352827739
42	0.969924812	0.2342881627
43	0.969924812	0.2318650877
44	0.969924812	0.2290029916
45	0.969924812	0.2271798696
46	0.969924812	0.2264407148
47	0.969924812	0.224264335
48	0.969924812	0.2226591189
49	0.969924812	0.2217678087
50	0.969924812	0.2205271703
51	0.969924812	0.2196439831
52	0.969924812	0.218502541
53	0.969924812	0.2172192081
54	0.969924812	0.215992351
55	0.969924812	0.214287077
56	0.969924812	0.2136572451
57	0.969924812	0.2125619914
58	0.969924812	0.2118290869
59	0.969924812	0.2113076626
60	0.9674185464	0.2101707311
61	0.9674185464	0.2088227069
62	0.9674185464	0.2077863668
63	0.9674185464	0.2064527337
64	0.9674185464	0.2055517091
65	0.9674185464	0.2048585483
66	0.9674185464	0.2037079656
67	0.969924812	0.2030153032
68	0.969924812	0.2022010849
69	0.9674185464	0.2010015226
70	0.9674185464	0.2005179593
71	0.9674185464	0.1993436407
72	0.9674185464	0.1974806595
73	0.9674185464	0.1965516606
74	0.9674185464	0.1953306176
75	0.9674185464	0.1940332204
76	0.9674185464	0.1937132471
77	0.969924812	0.1928112256
78	0.969924812	0.1921661522
79	0.969924812	0.1914581758
80	0.969924812	0.1893895548
81	0.969924812	0.1889295877
82	0.969924812	0.1877709701
83	0.969924812	0.1869216406
84	0.969924812	0.1866130535
85	0.969924812	0.1863850307
86	0.969924812	0.1855617245
87	0.969924812	0.1843676914
88	0.969924812	0.1831007367
89	0.969924812	0.1828472817
90	0.969924812	0.1823824134
91	0.969924812	0.1815909538
92	0.969924812	0.1813047816
93	0.969924812	0.1804246771
94	0.969924812	0.1794709856
95	0.969924812	0.1784357594
96	0.969924812	0.1778702023
97	0.969924812	0.1769861652
98	0.969924812	0.1762244056
99	0.969924812	0.175075191
100	0.969924812	0.1731940907
101	0.969924812	0.172692618
102	0.969924812	0.1723271655
103	0.969924812	0.1718509736
104	0.969924812	0.1712389063
105	0.969924812	0.1707446575
106	0.969924812	0.170317971
107	0.969924812	0.1697950458
108	0.969924812	0.1693280143
109	0.969924812	0.1690604107
110	0.969924812	0.1688560844
111	0.969924812	0.1680608334
112	0.969924812	0.167497028
113	0.969924812	0.1671103847
114	0.969924812	0.1668627384
115	0.969924812	0.1661604079
116	0.969924812	0.165751572
117	0.969924812	0.165088579
118	0.9724310777	0.1643568629
119	0.969924812	0.1639858445
120	0.969924812	0.1630091157
121	0.9724310777	0.16267475
122	0.9724310777	0.1621430405
123	0.9724310777	0.1613803461
124	0.9724310777	0.1607604661
125	0.9724310777	0.1597623328
126	0.9724310777	0.1595083332
127	0.9724310777	0.1589964251
128	0.9724310777	0.1580966375
129	0.9724310777	0.1575570227
130	0.9724310777	0.1568165739
131	0.9724310777	0.156278112
132	0.9724310777	0.1555830289
133	0.9724310777	0.1551007206
134	0.9724310777	0.1546610566
135	0.9724310777	0.1545362976
136	0.9724310777	0.1539368769
137	0.9724310777	0.1534497846
138	0.9724310777	0.1530450743
139	0.9724310777	0.1528738467
140	0.9724310777	0.1523107498
141	0.9724310777	0.1515407161
142	0.9724310777	0.1510905106
143	0.9724310777	0.1502742381
144	0.9724310777	0.1495363559
145	0.9724310777	0.1490633086
146	0.9724310777	0.1487320424
147	0.9724310777	0.1484561506
148	0.9749373434	0.147892907
149	0.9749373434	0.1471185088
150	0.9749373434	0.1465362401
151	0.977443609	0.146029259
152	0.977443609	0.1457863218
153	0.977443609	0.1457140089
154	0.977443609	0.1455343822
155	0.977443609	0.1450575292
156	0.9799498747	0.1444697724
157	0.977443609	0.1437886804
158	0.977443609	0.1434347399
159	0.977443609	0.1431322024
160	0.977443609	0.1425923488
161	0.977443609	0.1421242401
162	0.977443609	0.1414782442
163	0.977443609	0.1410290203
164	0.977443609	0.1406251868
165	0.977443609	0.1403654267
166	0.977443609	0.1401684728
167	0.9799498747	0.1391138216
168	0.9799498747	0.1386802486
169	0.9799498747	0.1385792811
170	0.9799498747	0.1383368797
171	0.9799498747	0.138012423
172	0.9799498747	0.1376774888
173	0.9799498747	0.1371817541
174	0.9799498747	0.1370352024
175	0.9799498747	0.1363764389
176	0.9799498747	0.1357922168
177	0.9799498747	0.1353680248
178	0.9799498747	0.1350535357
179	0.9799498747	0.1348627853
180	0.9799498747	0.133951725
181	0.9799498747	0.1335962139
182	0.9799498747	0.1333045059
183	0.9799498747	0.1329384555
184	0.9799498747	0.1323764634
185	0.9799498747	0.1322303127
186	0.9799498747	0.1317996872
187	0.9799498747	0.13125997
188	0.9799498747	0.130899844
189	0.9799498747	0.1307121091
190	0.9799498747	0.1298052947
191	0.9799498747	0.1295255853
192	0.9799498747	0.129342028
193	0.9799498747	0.1290785313
194	0.9799498747	0.1284284275
195	0.9799498747	0.1276015987
196	0.9799498747	0.127477938
197	0.9799498747	0.1271047428
198	0.9799498747	0.1259583341
199	0.9799498747	0.1256040918
200	0.9799498747	0.125440467
201	0.9799498747	0.1251621645
202	0.9799498747	0.1248513614
203	0.9799498747	0.1246061189
204	0.9799498747	0.124073684
205	0.9799498747	0.1238404694
206	0.9799498747	0.1235981791
207	0.9799498747	0.1232682912
208	0.9799498747	0.1231396099
209	0.9799498747	0.1228047252
210	0.9799498747	0.1223036301
211	0.9799498747	0.1221976431
212	0.9799498747	0.1215284631
213	0.9799498747	0.1212966628
214	0.9799498747	0.1208059208
215	0.9799498747	0.1203656119
216	0.9799498747	0.1201950435
217	0.9799498747	0.119863758
218	0.9799498747	0.1195253413
219	0.9799498747	0.1194173805
220	0.9799498747	0.1192113688
221	0.9799498747	0.1189687898
222	0.9799498747	0.1182251903
223	0.9799498747	0.1177905622
224	0.9799498747	0.1173502822
225	0.9799498747	0.1164698311
226	0.9799498747	0.1159962269
227	0.9824561404	0.1153257912
228	0.9824561404	0.1152144247
229	0.9824561404	0.1146253758
230	0.9824561404	0.1143179519
231	0.9824561404	0.1141272781
232	0.9824561404	0.1140339669
